iter	Passed	Remaining
1480	17483	100570
1481	17495	100557
1482	17507	100544
1483	17518	100528
1484	17528	100506
1485	17539	100493
1486	17557	100517
1487	17569	100503
1488	17579	100485
1489	17591	100470
1490	17603	100463
1491	17617	100462
1492	17629	100452
1493	17646	100468
1494	17657	100455
1495	17669	100441
1496	17680	100428
1497	17690	100403
1498	17702	100394
1499	17714	100382
1500	17724	100360
1501	17737	100356
1502	17754	100369
1503	17767	100368
1504	17779	100354
1505	17789	100334
1506	17801	100325
1507	17813	100314
1508	17826	100307
1509	17870	100475
1510	17883	100472
1511	17896	100467
1512	17908	100458
1513	17920	100445
1514	17932	100432
1515	17943	100417
1516	17954	100398
1517	17965	100382
1518	17977	100370
1519	17986	100347
1520	17997	100329
1521	18008	100313
1522	18019	100295
1523	18030	100281
1524	18043	100275
1525	18059	100283
1526	18069	100262
1527	18080	100248
1528	18092	100234
1529	18104	100224
1530	18115	100208
1531	18127	100196
1532	18139	100184
1533	18148	100160
1534	18160	100146
1535	18171	100130
1536	18180	100106
1537	18192	100096
1538	18204	100081
1539	18213	100057
1540	18225	100046
1541	18238	100037
1542	18248	100020
1543	18262	100020
1544	18274	100004
1545	18282	99974
1546	18293	99955
1547	18303	99937
1548	18313	99912
1549	18324	99895
1550	18333	99873
1551	18343	99850
1552	18353	99830
1553	18362	99801
1554	18373	99782
1555	18383	99764
1556	18392	99735
1557	18402	99714
1558	18411	99685
1559	18422	99668
1560	18434	99657
1561	18443	99632
1562	18454	99618
1563	18467	99612
1564	18478	99594
1565	18490	99586
1566	18502	99576
1567	18514	99562
1568	18524	99543
1569	18542	99561
1570	18553	99547
1571	18565	99535
1572	18574	99511
1573	18587	99500
1574	18598	99484
1575	18607	99459
1576	18618	99443
1577	18631	99438
1578	18641	99419
1579	18652	99398
1580	18664	99389
1581	18675	99372
1582	18687	99364
1583	18698	99349
1584	18708	99324
1585	18718	99305
1586	18738	99336
1587	18750	99324
1588	18765	99332
1589	18776	99316
1590	18786	99293
1591	18797	99277
1592	18808	99263
1593	18820	99248
1594	18831	99234
1595	18842	99219
1596	18853	99200
1597	18866	99195
1598	18880	99196
1599	18892	99187
1600	18903	99167
1601	18914	99152
1602	18926	99140
1603	18935	99117
1604	18946	99100
1605	18958	99087
1606	18969	99072
1607	18980	99055
1608	18991	99041
1609	19001	99022
1610	19014	99013
1611	19025	99000
1612	19035	98976
1613	19046	98963
1614	19058	98952
1615	19070	98941
1616	19082	98929
1617	19096	98931
1618	19108	98918
1619	19119	98903
1620	19129	98881
1621	19141	98868
1622	19151	98850
1623	19161	98828
1624	19173	98818
1625	19185	98805
1626	19194	98779
1627	19205	98764
1628	19215	98745
1629	19225	98723
1630	19239	98720
1631	19257	98740
1632	19268	98727
1633	19280	98717
1634	19293	98711
1635	19305	98700
1636	19316	98683
1637	19327	98665
1638	19338	98649
1639	19349	98634
1640	19358	98610
1641	19370	98598
1642	19382	98588
1643	19392	98564
1644	19403	98550
1645	19414	98534
1646	19424	98512
1647	19435	98497
1648	19446	98481
1649	19456	98462
1650	19473	98475
1651	19486	98471
1652	19499	98466
1653	19511	98453
1654	19523	98444
1655	19537	98444
1656	19549	98431
1657	19559	98412
1658	19569	98390
1659	19581	98379
1660	19591	98359
1661	19600	98334
1662	19612	98319
1663	19625	98318
